step_id,raw_path,normalized_path,write_count,verifier_status
"<no-step>","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\test_project/dependency_demo","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\test_project/dependency_demo",1,""
"<no-step>","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\test_project/dependency_demo/py_app","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\test_project/dependency_demo/py_app",1,""
"<no-step>","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\test_project/dependency_demo/py_app/utils","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\test_project/dependency_demo/py_app/utils",1,""
"<no-step>","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\test_project/dependency_demo/web","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\test_project/dependency_demo/web",1,""
"<no-step>","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\test_project/dependency_demo/web/utils","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\test_project/dependency_demo/web/utils",1,""
"<no-step>","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\test_project/dependency_demo/UnityGame","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\test_project/dependency_demo/UnityGame",1,""
"<no-step>","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\test_project/dependency_demo/UnityGame/Scripts","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\test_project/dependency_demo/UnityGame/Scripts",1,""
"test_project/dependency_demo","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\.","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\.",1,""
"test_project/dependency_demo/py_app","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\py_app","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\py_app",1,""
"test_project/dependency_demo/py_app/utils","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\py_app/utils","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\py_app/utils",1,""
"test_project/dependency_demo/py_app/utils/__init__.py","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\py_app\utils\__init__.py","py_app/utils/__init__.py",1,""
"test_project/dependency_demo/py_app/utils/__init__.py","","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\py_app\utils\__init__.py",0,"ok"
"test_project/dependency_demo/py_app/utils/math_utils.py","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\py_app\utils\math_utils.py","py_app/utils/math_utils.py",1,""
"test_project/dependency_demo/py_app/utils/math_utils.py","","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\py_app\utils\math_utils.py",0,"error"
"test_project/dependency_demo/py_app/main.py","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\py_app\main.py","py_app/main.py",1,""
"test_project/dependency_demo/py_app/main.py","","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\py_app\main.py",0,"ok"
"test_project/dependency_demo/web","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\web","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\web",1,""
"test_project/dependency_demo/web/utils","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\web/utils","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\web/utils",1,""
"test_project/dependency_demo/web/utils/format.ts","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\web\utils\format.ts","web/utils/format.ts",1,""
"test_project/dependency_demo/web/utils/format.ts","","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\web\utils\format.ts",0,"skipped"
"test_project/dependency_demo/web/app.ts","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\web\app.ts","web/app.ts",1,""
"test_project/dependency_demo/web/app.ts","","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\web\app.ts",0,"skipped"
"test_project/dependency_demo/UnityGame","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\UnityGame","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\UnityGame",1,""
"test_project/dependency_demo/UnityGame/Scripts","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\UnityGame/Scripts","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\UnityGame/Scripts",1,""
"test_project/dependency_demo/UnityGame/Scripts/Health.cs","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\UnityGame\Scripts\Health.cs","UnityGame/Scripts/Health.cs",1,""
"test_project/dependency_demo/UnityGame/Scripts/Health.cs","","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\UnityGame\Scripts\Health.cs",0,"skipped"
"test_project/dependency_demo/UnityGame/Scripts/Player.cs","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\UnityGame\Scripts\Player.cs","UnityGame/Scripts/Player.cs",1,""
"test_project/dependency_demo/UnityGame/Scripts/Player.cs","","C:\Users\Hp\3D Objects\hope last\test_project\dependency2_demo\UnityGame\Scripts\Player.cs",0,"skipped"
